楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
Help me， ERINNNNNN!! -Cranky remix-,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9770337,9,8,0,0
Mind Mapping (hard liquid remix),EXHAUST,15,EXCESSIVE COMPLETE,S,9921208,1,1,0,0
双星ルミネセンス,EXHAUST,16,EXCESSIVE COMPLETE,S,9949622,2,2,0,0
Apex of the World,EXHAUST,17,EXCESSIVE COMPLETE,S,9919839,6,6,0,0
Endless GRAVITY,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9724770,7,7,0,0
GRISAILLE,EXHAUST,16,EXCESSIVE COMPLETE,S,9925124,1,1,0,0
侍Annihilate!!,EXHAUST,18,EXCESSIVE COMPLETE,AA+,9691272,8,8,0,0
CENSORED!!,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9816538,7,7,0,0
Destroy,EXHAUST,16,EXCESSIVE COMPLETE,S,9931237,4,4,0,0
Destroy,GRAVITY,17,EXCESSIVE COMPLETE,AAA+,9852101,13,11,0,0
ブチアゲドクター☆ハイテッコ三姉妹,EXHAUST,15,EXCESSIVE COMPLETE,S,9963592,1,1,0,0
恋繋エピローグ,EXHAUST,15,EXCESSIVE COMPLETE,S,9909551,1,1,0,0
幻想郷DEMPASTICグリーティング,EXHAUST,16,EXCESSIVE COMPLETE,S,9923733,3,3,0,0
断罪は遍く人間の元に,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9840707,9,7,0,0
弾幕注意報2014,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9842137,1,1,0,0
アキネイション,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9840672,5,5,0,0
The star in eclipse,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9835691,7,5,0,0
Din Don Dan (Fusion Remix),EXHAUST,16,EXCESSIVE COMPLETE,S,9929749,3,1,0,0
Dualive,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9812469,16,15,0,0
爆なな☆てすとロイヤー,EXHAUST,16,EXCESSIVE COMPLETE,S,9900751,6,5,0,0
GO BACK 2 YOUR RAVE,EXHAUST,16,EXCESSIVE COMPLETE,S,9946053,8,8,0,0
カタルシスの月,EXHAUST,16,EXCESSIVE COMPLETE,S,9969450,4,4,0,0
黒髪乱れし修羅となりて～凛 edition～,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9797657,14,14,0,0
水月鏡花のコノテーション,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9850488,1,1,0,0
Question.,EXHAUST,16,ULTIMATE CHAIN,AAA+,9884937,3,3,1,0
人形裁判 -THIRD IMPACT-,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9715698,9,9,0,0
-約束-,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9868945,1,1,0,0
Parousia,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9813739,7,7,0,0
archive::zip,EXHAUST,14,EXCESSIVE COMPLETE,AAA+,9897090,1,1,0,0
archive::zip,GRAVITY,16,EXCESSIVE COMPLETE,S,9937425,8,6,0,0
Inixia,EXHAUST,16,EXCESSIVE COMPLETE,S,9937070,6,6,0,0
Inixia,GRAVITY,17,EXCESSIVE COMPLETE,AAA+,9895416,19,17,0,0
Virtual Bit,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9866141,13,13,0,0
ERROR CODE,GRAVITY,16,EXCESSIVE COMPLETE,S,9905933,6,6,0,0
XROSS THE XOUL,EXHAUST,16,EXCESSIVE COMPLETE,S,9964136,3,3,0,0
XROSS THE XOUL,GRAVITY,18,EXCESSIVE COMPLETE,AAA+,9826682,18,10,0,0
S1CK_F41RY,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9883517,7,7,0,0
Russet,EXHAUST,16,EXCESSIVE COMPLETE,S,9946202,6,6,0,0
Renegade Fruits,EXHAUST,16,EXCESSIVE COMPLETE,S,9921602,3,3,0,0
Renegade Fruits,GRAVITY,18,EXCESSIVE COMPLETE,AA+,9683014,13,8,0,0
She is my wife,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9837858,4,4,0,0
お嫁にしなさいっ！,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9803732,1,1,0,0
響縁,EXHAUST,16,EXCESSIVE COMPLETE,S,9959420,3,3,0,0
Enigma,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9813110,14,12,0,0
MG277,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9703341,26,20,0,0
Never Fails,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9864939,11,10,0,0
Fox4-Raize-,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9713135,11,6,0,0
Follow Up,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9816883,9,8,0,0
REVOLVER,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9746376,14,7,0,0
KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Emperor Side,ADVANCED,13,EXCESSIVE COMPLETE,AAA+,9832007,1,1,0,0
KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Emperor Side,EXHAUST,18,COMPLETE,AA+,9536537,18,11,0,0
KAC 2013 ULTIMATE MEDLEY -HISTORIA SOUND VOLTEX- Emperor Side,GRAVITY,19,COMPLETE,AA,9426259,10,1,0,0
しゅわスパ大作戦☆ (カシオれ！くーにゃんリミックス),EXHAUST,16,EXCESSIVE COMPLETE,S,9922630,2,2,0,0
チルノとまりおのパーフェクトさんすう教室,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9825396,7,7,0,0
Demise Quartet,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9701761,14,7,0,0
Help me， ERINNNNNN!! - SH Style -,EXHAUST,13,ULTIMATE CHAIN,S,9974074,3,3,2,0
Help me， CODYYYYYY!!,GRAVITY,16,EXCESSIVE COMPLETE,AAA+,9889937,8,8,0,0
Ultimate Fury,EXHAUST,16,EXCESSIVE COMPLETE,S,9924812,7,7,0,0
JEHANNEDARC,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9794520,15,12,0,0
spectroscape,EXHAUST,16,EXCESSIVE COMPLETE,S,9949284,2,2,0,0
常夏！！クリスタライズ・シャーベット,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9891368,6,5,0,0
伐折羅-vajra-,EXHAUST,18,COMPLETE,AA,9363472,1,1,0,0
アナーキーインザ夕景,EXHAUST,16,EXCESSIVE COMPLETE,S,9901595,8,8,0,0
「ここなつ☆」は夢のカタチ,EXHAUST,16,EXCESSIVE COMPLETE,S,9918444,3,3,0,0
Finally Dive,EXHAUST,15,EXCESSIVE COMPLETE,S,9900535,1,1,0,0
モラトリアムノオト,EXHAUST,13,EXCESSIVE COMPLETE,S,9907473,1,1,0,0
End to end,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9732441,9,4,0,0
EMPIRE OF FLAME,EXHAUST,18,EXCESSIVE COMPLETE,AA+,9647222,14,7,0,0
Candy Colored Hearts,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9723741,12,8,0,0
雲の彼方,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9774939,12,10,0,0
NEO GRAVITY,EXHAUST,18,EXCESSIVE COMPLETE,AAA+,9821047,10,8,0,0
Lachryma《Re:Queen’M》,NOVICE,8,EXCESSIVE COMPLETE,S,9970326,1,1,0,0
Lachryma《Re:Queen’M》,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9713715,16,12,0,0
Lachryma《Re:Queen’M》,GRAVITY,20,PLAYED,AA,9409503,15,0,0,0
VOLTEXES,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9855072,2,1,0,0
VOLTEXES II,EXHAUST,15,ULTIMATE CHAIN,S,9936880,3,2,1,0
VOLTEXES III,EXHAUST,16,EXCESSIVE COMPLETE,S,9903444,10,8,0,0
激アツ☆マジヤバ☆チアガール,EXHAUST,13,EXCESSIVE COMPLETE,AA+,9622964,1,1,0,0
漆黒のスペシャルプリンセスサンデー,EXHAUST,17,EXCESSIVE COMPLETE,S,9921735,15,14,0,0
地方創生☆チクワクティクス,EXHAUST,15,EXCESSIVE COMPLETE,S,9919478,5,5,0,0
neko＊neko,EXHAUST,13,EXCESSIVE COMPLETE,AAA+,9866529,1,1,0,0
フラッター現象の顛末と単一指向性の感情論,EXHAUST,15,EXCESSIVE COMPLETE,S,9914448,4,4,0,0
Chloé,EXHAUST,16,EXCESSIVE COMPLETE,S,9959459,3,3,0,0
Aliquam,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9774919,6,5,0,0
XHAOS JUDGE,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9738636,31,9,0,0
conflict,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9850934,23,17,0,0
Stleq,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9807502,8,8,0,0
Never Ending,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9824813,1,1,0,0
Nofram,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9711900,7,3,0,0
冥天・ヘメロカリス,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9709035,11,5,0,0
コンフェイト＊コンチェルト,EXHAUST,14,EXCESSIVE COMPLETE,AAA+,9865575,2,2,0,0
千客万来☆無問題！,EXHAUST,16,EXCESSIVE COMPLETE,S,9932598,7,7,0,0
ムラサキグルマ,EXHAUST,18,EXCESSIVE COMPLETE,AAA+,9808575,10,5,0,0
闇夜舞踏会 -緋碧と蝶のためのmasquerade-,EXHAUST,16,EXCESSIVE COMPLETE,S,9900117,5,5,0,0
Asian Chip City,EXHAUST,16,EXCESSIVE COMPLETE,S,9905966,4,4,0,0
About me,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9870242,1,1,0,0
Angels And Demons,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9714605,6,4,0,0
Oriental Blossom,EXHAUST,16,EXCESSIVE COMPLETE,S,9945730,4,4,0,0
我楽多イノセンス,EXHAUST,16,EXCESSIVE COMPLETE,S,9927045,5,4,0,0
CUTIE☆EX-DREAM,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9862745,13,11,0,0
君がいる場所へ,EXHAUST,13,ULTIMATE CHAIN,S,9977777,2,2,1,0
The setting sun,EXHAUST,17,EXCESSIVE COMPLETE,S,9938692,13,11,0,0
Seraphim,ADVANCED,12,ULTIMATE CHAIN,S,9916123,1,1,1,0
Seraphim,EXHAUST,18,EXCESSIVE COMPLETE,AAA+,9806547,21,11,0,0
ダブルラリアット,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9889094,1,1,0,0
twilight signal,EXHAUST,15,EXCESSIVE COMPLETE,S,9904323,1,1,0,0
ドゥンガドゥンガ狂詩曲,EXHAUST,16,EXCESSIVE COMPLETE,S,9954622,3,3,0,0
ハッピーシンセサイザ,EXHAUST,13,EXCESSIVE COMPLETE,AA+,9663402,1,1,0,0
Backflow,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9848920,4,4,0,0
Beyond the Sandstorm,EXHAUST,16,ULTIMATE CHAIN,S,9918166,2,2,1,0
Pieces of a Dream,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9726103,6,5,0,0
Pet Peeve,EXHAUST,17,EXCESSIVE COMPLETE,AA+,9689366,16,15,0,0
Mayohiga Spurt,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9845415,8,8,0,0
みくみくにしてあげる♪【してやんよ】,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9867576,1,1,0,0
メランコリック,EXHAUST,13,EXCESSIVE COMPLETE,AAA,9752920,1,1,0,0
Utopia,EXHAUST,16,EXCESSIVE COMPLETE,S,9965425,2,2,0,0
月光乱舞,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9733742,24,12,0,0
月光乱舞,GRAVITY,19,EXCESSIVE COMPLETE,AAA,9750331,31,13,0,0
continew,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9751552,8,3,0,0
ちぇいす いん ざ さんしゃいん！！！,EXHAUST,16,EXCESSIVE COMPLETE,S,9902634,3,3,0,0
FAKE STYLE II,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9864643,1,1,0,0
Blacksphere,EXHAUST,16,EXCESSIVE COMPLETE,S,9918725,6,6,0,0
Le ××××,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9827109,1,1,0,0
ショットガン・ラヴァーズ,EXHAUST,16,EXCESSIVE COMPLETE,S,9915474,3,3,0,0
じゅーじゅー♥焼肉の火からフェニックス！？～再誕の†炭火焼き～,EXHAUST,17,EXCESSIVE COMPLETE,S,9936676,17,10,0,0
HAELE III ~Angel Worlds~,EXHAUST,15,EXCESSIVE COMPLETE,S,9936862,4,4,0,0
HAELE III ~Angel Worlds~,GRAVITY,18,EXCESSIVE COMPLETE,AAA,9768019,22,12,0,0
ドーパミン,ADVANCED,12,COMPLETE,AAA+,9842643,1,1,0,0
ドーパミン,EXHAUST,18,EXCESSIVE COMPLETE,AA+,9668644,19,13,0,0
crêpe suzette,EXHAUST,16,ULTIMATE CHAIN,S,9971799,2,2,1,0
Shiawase Transmission,EXHAUST,16,EXCESSIVE COMPLETE,S,9957537,2,1,0,0
双翼 - Black Wings - SDVX Edit. -,EXHAUST,16,EXCESSIVE COMPLETE,S,9955223,2,2,0,0
星の器 feat. らっぷびと,EXHAUST,16,EXCESSIVE COMPLETE,S,9931285,5,5,0,0
三つ数えろ,EXHAUST,16,EXCESSIVE COMPLETE,S,9912965,10,5,0,0
Lucky*Clover,EXHAUST,17,EXCESSIVE COMPLETE,S,9922043,11,11,0,0
マサカリブレイド,EXHAUST,18,EXCESSIVE COMPLETE,AAA+,9824945,28,13,0,0
Garakuta Doll Play,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9720828,20,11,0,0
Garakuta Doll Play,HEAVENLY,18,EXCESSIVE COMPLETE,AA+,9632560,12,9,0,0
きたさいたま2000,ADVANCED,12,ULTIMATE CHAIN,S,9974025,1,1,1,0
きたさいたま2000,EXHAUST,18,COMPLETE,AA+,9574898,15,7,0,0
きたさいたま2000,HEAVENLY,19,COMPLETE,AA,9335288,7,1,0,0
Got more raves？,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9805408,9,8,0,0
Got more raves？,HEAVENLY,19,EXCESSIVE COMPLETE,AA+,9603854,7,6,0,0
FLOWER,ADVANCED,11,COMPLETE,AAA+,9809228,1,1,0,0
FLOWER,EXHAUST,18,EXCESSIVE COMPLETE,AAA+,9847548,19,10,0,0
FLOWER,HEAVENLY,19,COMPLETE,AA+,9512587,9,2,0,0
ちくわパフェだよ☆ＣＫＰ,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9882953,4,4,0,0
都会征服Girls☆,EXHAUST,14,EXCESSIVE COMPLETE,AA+,9633671,2,2,0,0
ホーンテッド★メイドランチ,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9805491,16,12,0,0
めうめうぺったんたん！！,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9836014,3,3,0,0
滅亡天使 † にこきゅっぴん,EXHAUST,16,EXCESSIVE COMPLETE,S,9932359,6,5,0,0
Warriors Aboot,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9777253,14,5,0,0
Vampire's Territory,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9704588,10,7,0,0
紅の剣舞,EXHAUST,17,EXCESSIVE COMPLETE,S,9916543,9,7,0,0
Shanghai Wu Long ～上海舞龍～,EXHAUST,17,EXCESSIVE COMPLETE,AA+,9657701,13,8,0,0
Sourire,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9887071,4,4,0,0
ハナビラ:リンクス,EXHAUST,15,ULTIMATE CHAIN,S,9988488,3,3,2,0
Firestorm,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9753892,25,15,0,0
My name is TSUMABUKI,EXHAUST,14,EXCESSIVE COMPLETE,AAA+,9875592,1,1,0,0
ギャラクシィ・トラベラー,EXHAUST,14,EXCESSIVE COMPLETE,AAA+,9886775,5,5,0,0
6弦とピアノのためのエチュード op.4,EXHAUST,16,ULTIMATE CHAIN,AAA+,9808444,7,7,1,0
ECHO,EXHAUST,13,COMPLETE,AA+,9644714,1,1,0,0
深海シティアンダーグラウンド,EXHAUST,16,EXCESSIVE COMPLETE,S,9933920,3,3,0,0
eternita,EXHAUST,16,EXCESSIVE COMPLETE,S,9905437,7,5,0,0
消失,ADVANCED,13,COMPLETE,AAA+,9865879,1,1,0,0
消失,EXHAUST,18,EXCESSIVE COMPLETE,AA+,9672312,27,8,0,0
暴走,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9722013,14,7,0,0
夏色DIARY -Summer Dazzlin' Vacation miX-,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9860302,16,13,0,0
夏色DIARY -Summer Dazzlin' Vacation miX-,GRAVITY,16,EXCESSIVE COMPLETE,S,9908707,10,8,0,0
